CreatedDate,ExpirationDate,TotalDays,Label
2/3/2020,2/3/2028,2922,legit
6/5/2012,6/5/2022,3652,legit
7/29/2016,7/29/2026,3652,legit
4/25/2016,4/25/2030,5113,legit
11/8/2014,11/8/2023,3287,legit
12/4/2015,12/4/2023,2922,legit
7/31/1998,7/30/2025,9861,legit
3/3/2016,3/3/2022,2191,legit
10/27/2016,10/27/2023,2556,legit
5/18/2017,5/18/2022,1826,legit
1/6/2016,1/6/2023,2557,legit
11/8/2014,11/8/2023,3287,legit
7/13/2016,7/13/2022,2191,legit
12/29/2012,12/29/2022,3652,legit
9/17/2019,9/17/2022,1096,legit
12/7/2009,12/7/2022,4748,legit
12/2/2005,12/2/2024,6940,legit
1/11/2005,1/11/2024,6939,legit
11/7/2004,11/7/2024,7305,legit
5/22/1996,5/23/2022,9497,legit
10/27/1995,10/26/2023,10226,legit
7/26/1995,7/25/2024,10592,legit
6/19/2013,6/19/2022,3287,legit
9/25/1995,9/24/2022,9861,legit
9/29/1997,9/28/2031,12417,legit
5/12/1999,5/12/2023,8766,legit
3/3/1999,3/3/2023,8766,legit
10/4/2001,10/4/2023,8035,legit
7/17/1996,7/16/2024,10226,legit
1/18/2008,1/18/2029,7671,legit
11/5/2007,11/5/2022,5479,legit
5/20/1996,12/11/2026,11162,legit
2/19/1987,2/20/2022,12785,legit
12/30/1998,12/30/2023,9131,legit
2/27/1998,2/26/2023,9130,legit
7/30/2010,2/2/2023,4570,legit
12/5/1996,12/4/2022,9495,legit
6/16/1999,6/16/2022,8401,legit
7/15/1989,7/14/2030,14974,legit
11/17/1996,11/16/2025,10591,legit
3/3/1994,3/4/2022,10228,legit
6/1/1998,5/31/2023,9130,legit
4/21/2003,4/21/2022,6940,legit
1/29/1996,1/30/2023,9863,legit
6/4/2003,6/4/2024,7671,legit
11/15/2009,11/15/2022,4748,legit
6/19/1997,6/18/2023,9495,legit
12/7/2006,12/7/2024,6575,legit
4/2/2001,4/2/2023,8035,legit
1/23/2004,1/23/2023,6940,legit
9/1/1995,8/31/2023,10226,legit
10/4/1994,10/3/2022,10226,legit
7/13/1994,7/12/2022,10226,legit
8/14/1995,8/13/2022,9861,legit
8/31/1995,8/30/2010,5478,legit
3/29/1997,3/30/2031,12419,legit
5/25/1996,5/24/2022,9495,legit
5/22/1990,5/23/2031,14976,legit
5/25/2008,5/25/2030,8035,legit
8/6/2001,8/6/2026,9131,legit
12/6/2007,12/6/2022,5479,legit
10/30/2009,10/30/2022,4748,legit
9/27/2001,9/27/2023,8035,legit
3/9/1995,3/10/2022,9863,legit
6/17/1993,6/16/2022,10591,legit
6/2/1994,6/1/2023,10591,legit
9/19/1994,9/18/2025,11322,legit
7/3/1997,11/19/2026,10731,legit
1/31/2007,1/31/2023,5844,legit
4/26/2010,4/25/2022,4382,legit
9/13/1993,9/12/2028,12783,legit
10/5/2002,10/5/2030,10227,legit
2/16/2013,2/16/2024,4017,legit
4/7/2001,4/7/2025,8766,legit
11/27/2012,11/27/2024,4383,legit
6/14/2010,6/14/2022,4383,legit
2/3/2016,2/3/2022,2192,legit
5/8/2015,5/8/2022,2557,legit
3/4/2009,3/4/2028,6940,legit
10/9/2007,10/9/2022,5479,legit
1/15/2004,1/15/2025,7671,legit
7/1/2002,7/1/2022,7305,legit
8/13/1995,8/12/2022,9861,legit
5/7/1994,5/8/2022,10228,legit
12/9/1998,12/8/2022,8765,legit
1/25/2005,1/25/2023,6574,legit
11/17/2008,11/17/2022,5113,legit
5/25/2003,5/25/2022,6940,legit
7/15/2004,7/15/2023,6939,legit
2/10/2014,2/10/2022,2922,legit
5/29/2002,5/29/2022,7305,legit
5/24/1999,5/24/2022,8401,legit
6/20/2006,6/20/2022,5844,legit
9/23/1998,9/22/2031,12052,legit
11/1/1994,10/31/2022,10226,legit
7/15/2009,7/15/2023,5113,legit
11/14/1997,11/13/2030,12052,legit
9/29/1999,9/29/2022,8401,legit
8/4/1992,8/3/2022,10956,legit
2/20/2002,2/20/2023,7670,legit
4/20/2011,4/20/2022,4018,legit
2/1/2005,2/1/2022,6209,legit
3/27/1996,3/28/2024,10228,legit
1/31/2005,1/31/2022,6209,legit
8/3/2009,8/3/2025,5844,legit
2/21/1997,2/22/2022,9132,legit
7/31/2009,7/31/2022,4748,legit
1/15/1999,1/15/2022,8401,legit
7/29/1995,7/5/2022,9838,legit
9/22/2006,9/22/2022,5844,legit
2/9/2009,2/9/2023,5113,legit
1/9/2009,1/9/2027,6574,legit
3/30/1998,3/29/2022,8765,legit
4/2/2013,4/2/2023,3652,legit
6/4/2004,6/4/2031,9861,legit
8/10/1998,8/9/2022,8765,legit
4/23/2013,4/23/2022,3287,legit
11/5/2007,11/5/2022,5479,legit
9/12/2007,9/12/2028,7671,legit
1/6/2000,1/6/2023,8401,legit
6/2/2001,6/2/2022,7670,legit
10/13/1993,10/12/2022,10591,legit
2/11/2008,2/11/2028,7305,legit
3/14/2001,3/14/2022,7670,legit
8/15/2005,8/15/2022,6209,legit
10/28/2009,10/28/2022,4748,legit
8/7/2012,8/7/2022,3652,legit
10/4/2012,10/4/2022,3652,legit
12/15/1998,12/14/2022,8765,legit
5/23/1995,5/24/2022,9863,legit
12/19/1994,12/18/2022,10226,legit
6/11/1998,6/10/2023,9130,legit
3/5/2002,3/5/2022,7305,legit
8/5/1993,8/4/2022,10591,legit
5/23/1995,5/24/2022,9863,legit
6/4/1996,6/3/2022,9495,legit
12/12/1990,12/11/2023,12052,legit
2/24/2011,2/24/2022,4018,legit
9/8/2004,9/8/2022,6574,legit
11/2/2002,11/2/2022,7305,legit
12/28/1994,12/27/2022,10226,legit
7/17/1995,7/16/2022,9861,legit
1/30/2007,1/30/2022,5479,legit
9/19/1996,4/30/2028,11546,legit
4/8/2009,4/8/2022,4748,legit
10/13/2003,10/13/2024,7671,legit
6/29/1995,6/28/2022,9861,legit
5/22/1998,5/21/2022,8765,legit
2/7/1994,2/8/2025,11324,legit
4/7/2000,4/7/2023,8400,legit
7/31/2007,7/31/2022,5479,legit
7/31/1997,7/30/2022,9130,legit
7/19/2005,7/19/2026,7670,legit
5/1/2004,5/1/2022,6574,legit
6/26/2006,6/27/2022,5845,legit
5/27/1998,5/26/2022,8765,legit
11/25/1995,11/24/2022,9861,legit
2/8/1999,2/8/2022,8401,legit
6/21/1995,6/20/2022,9861,legit
11/4/1998,11/3/2031,12052,legit
5/2/1991,5/3/2022,11324,legit
4/23/2009,4/23/2022,4748,legit
11/1/1994,10/31/2024,10957,legit
5/7/1994,5/8/2024,10959,legit
9/7/1998,9/6/2026,10226,legit
11/10/2005,11/10/2022,6209,legit
11/10/1994,6/4/2022,10068,legit
12/17/2008,12/17/2022,5113,legit
8/14/2006,8/14/2022,5844,legit
7/12/2010,7/12/2023,4748,legit
8/11/2000,8/11/2026,9496,legit
10/10/1995,10/9/2022,9861,legit
11/28/1994,11/27/2022,10226,legit
6/26/1997,6/25/2023,9495,legit
6/25/1999,6/25/2022,8401,legit
10/2/2000,10/2/2023,8400,legit
7/16/1995,7/15/2024,10592,legit
3/20/1994,3/21/2022,10228,legit
11/11/1997,11/10/2023,9495,legit
2/1/2000,2/1/2031,11323,legit
8/31/1995,8/30/2022,9861,legit
4/12/1991,4/13/2022,11324,legit
5/20/1996,5/21/2023,9862,legit
2/11/2011,2/11/2023,4383,legit
7/1/2004,7/1/2023,6939,legit
6/12/2012,6/12/2022,3652,legit
10/18/1994,10/17/2022,10226,legit
3/4/1995,3/5/2022,9863,legit
3/5/2014,3/5/2022,2922,legit
10/23/1994,10/22/2023,10591,legit
10/4/1999,10/4/2024,9132,legit
9/20/2012,9/20/2023,4017,legit
12/13/1993,12/12/2022,10591,legit
9/27/2001,9/27/2022,7670,legit
6/29/1995,6/28/2025,10957,legit
4/20/1995,4/21/2022,9863,legit
3/27/1995,3/28/2023,10228,legit
11/2/1996,11/1/2023,9860,legit
9/29/1996,9/28/2022,9495,legit
1/18/1994,1/19/2023,10593,legit
12/15/2011,12/15/2028,6210,legit
4/23/1994,2/3/2024,10878,legit
5/12/2008,5/12/2022,5113,legit
4/20/1999,4/20/2022,8401,legit
4/26/1995,4/27/2023,10228,legit
10/12/1995,10/11/2029,12418,legit
12/3/2005,12/3/2022,6209,legit
11/5/2013,11/5/2022,3287,legit
8/26/1997,8/25/2027,10956,legit
6/15/2014,6/15/2022,2922,legit
8/18/1994,8/17/2022,10226,legit
11/20/2008,11/20/2030,8035,legit
10/31/1997,10/30/2024,9861,legit
9/3/2002,9/3/2028,9497,legit
7/15/1999,7/15/2022,8401,legit
6/2/1994,6/1/2022,10226,legit
11/5/2004,11/5/2022,6574,legit
3/20/2015,3/20/2024,3288,legit
5/29/2010,5/29/2023,4748,legit
11/26/2009,11/26/2022,4748,legit
1/14/1997,1/13/2023,9495,legit
11/27/2008,11/27/2023,5478,legit
7/28/2005,7/28/2024,6940,legit
11/1/2013,11/1/2023,3652,legit
12/2/2004,12/2/2022,6574,legit
8/21/2010,8/21/2022,4383,legit
3/8/2007,3/8/2023,5844,legit
1/31/1995,2/1/2023,10228,legit
1/4/2010,1/4/2023,4748,legit
11/20/2000,11/20/2022,8035,legit
3/20/2014,3/20/2022,2922,legit
7/18/2009,7/18/2028,6940,legit
1/6/2007,1/6/2023,5844,legit
4/29/2005,4/29/2022,6209,legit
5/2/2000,5/2/2022,8035,legit
7/8/1994,7/7/2022,10226,legit
4/3/2004,4/3/2022,6574,legit
11/29/1994,11/28/2025,11322,legit
9/24/2006,9/24/2022,5844,legit
2/19/1992,2/20/2022,10959,legit
7/14/2005,7/14/2022,6209,legit
1/14/2007,1/13/2022,5478,legit
3/18/2003,3/18/2022,6940,legit
4/23/2003,4/23/2022,6940,legit
10/5/1997,10/4/2024,9861,legit
2/21/1995,2/22/2022,9863,legit
11/10/1999,11/10/2025,9497,legit
2/28/2012,2/28/2026,5114,legit
7/16/2008,7/16/2023,5478,legit
1/14/2001,1/14/2022,7670,legit
5/10/2012,5/9/2022,3651,legit
2/26/1998,2/25/2022,8765,legit
4/23/2006,4/23/2030,8766,legit
7/20/2004,4/16/2024,7210,legit
6/12/2009,6/12/2022,4748,legit
3/19/2002,3/19/2023,7670,legit
10/25/1993,10/24/2022,10591,legit
10/11/1997,10/10/2028,11322,legit
5/28/2006,5/28/2022,5844,legit
11/6/1999,11/6/2022,8401,legit
12/21/1999,12/21/2022,8401,legit
9/20/2001,9/20/2023,8035,legit
4/26/2010,4/25/2022,4382,legit
3/1/2010,3/25/2028,6599,legit
4/30/2011,4/30/2022,4018,legit
1/2/1997,1/1/2027,10956,legit
9/21/2004,9/21/2022,6574,legit
2/16/2000,2/16/2025,9132,legit
11/20/1998,11/19/2023,9130,legit
7/12/2008,2/23/2022,4974,legit
10/8/2013,10/8/2022,3287,legit
4/22/1995,4/23/2023,10228,legit
3/17/2008,3/17/2022,5113,legit
8/2/2008,8/2/2022,5113,legit
6/28/2004,6/28/2030,9496,legit
4/10/2007,4/10/2022,5479,legit
11/11/1998,11/10/2022,8765,legit
11/19/1993,11/18/2022,10591,legit
4/25/2004,4/25/2022,6574,legit
1/27/2002,1/27/2029,9862,legit
2/27/1998,2/26/2022,8765,legit
1/2/2015,1/2/2023,2922,legit
7/21/2010,7/20/2022,4382,legit
2/15/1996,2/16/2031,12785,legit
9/11/1997,9/10/2022,9130,legit
8/8/2005,8/8/2022,6209,legit
11/8/1995,11/7/2022,9861,legit
6/8/2006,6/8/2023,6209,legit
5/1/1996,5/2/2022,9497,legit
5/17/2010,5/17/2022,4383,legit
9/22/2008,9/22/2022,5113,legit
6/8/2009,6/8/2024,5479,legit
1/21/2000,1/21/2022,8036,legit
10/9/2004,10/9/2022,6574,legit
2/27/2010,2/27/2023,4748,legit
11/18/1993,11/17/2029,13148,legit
1/6/2016,1/6/2023,2557,legit
1/12/2005,1/12/2023,6574,legit
12/6/2010,12/6/2023,4748,legit
11/11/2013,11/11/2022,3287,legit
6/6/2014,6/6/2023,3287,legit
9/17/1996,9/16/2022,9495,legit
6/2/1995,6/1/2022,9861,legit
2/23/2013,2/23/2022,3287,legit
5/28/1997,5/14/2029,11674,legit
2/22/2005,2/22/2029,8766,legit
2/3/2000,2/3/2023,8401,legit
7/3/1997,7/2/2023,9495,legit
12/15/2004,12/15/2022,6574,legit
6/24/1997,6/23/2022,9130,legit
9/30/1994,9/29/2022,10226,legit
5/4/1995,5/5/2022,9863,legit
2/23/1995,9/23/2022,10074,legit
11/13/1995,11/12/2022,9861,legit
8/9/1994,1/25/2022,10031,legit
12/14/2007,12/14/2022,5479,legit
3/16/2003,3/16/2022,6940,legit
9/11/1995,6/4/2022,9763,legit
7/22/1997,7/21/2022,9130,legit
11/20/1992,11/19/2023,11321,legit
7/4/1996,7/3/2022,9495,legit
3/3/2000,3/3/2022,8035,legit
1/17/1997,8/17/2022,9343,legit
11/20/2001,11/20/2022,7670,legit
12/12/2002,12/12/2029,9862,legit
1/26/2003,1/26/2024,7670,legit
1/18/1995,1/19/2023,10228,legit
1/23/2009,1/23/2023,5113,legit
2/15/2005,2/15/2022,6209,legit
12/11/2007,12/11/2022,5479,legit
6/12/2010,6/12/2022,4383,legit
11/30/2007,11/30/2022,5479,legit
9/6/2006,9/6/2024,6575,legit
2/23/2010,2/23/2028,6574,legit
